,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,product_name,Calcium,Iron,Magnesium,Of which Polyunsaturated,Omega 3,Potassium,Zinc,Selenium,Vitamin E,Polyunsaturates,Sodium,Vitamin D,Vitamin C,Riboflavin,Vitamin B12,Cholesterol,Of which Trans
387,82.4g,382kcal,5.8g,0.0g,5.3g,76.1g,0.0g,0.0g,,Cooks' Ingredients Rose Decorations,,,,,,,,,,,,,,,,,,,,,,,,
388,67g,425kcal,17g,,5.0g,62g,0.1g,0.24g,,Dr.Oetker Vanilla Cupcake Icing,,,,,,,,,,,,,,,,,,,,,,,,
389,86.3g,351kcal,0.1g,0.0g,0.1g,85.9g,1.2g,0.12g,,Create a Cake Icing Decorations Birthday,,,,,,,,,,,,,,,,,,,,,,,,
390,,,,,,,,,,Talking Tables Party Animals Candles,,,,,,,,,,,,,,,,,,,,,,,,
391,70.1g,308kcal,0.8g,4.1g,0.3g,69.2g,2.9g,0.03g,,Waitrose Duchy Sultanas,,,,,,,,,,,,,,,,,,,,,,,,
392,69.3g,297kcal,<0.5g,3.9g,0.2g,69.3g,2.1g,0.15g,,Essential Raisins,,,,,,,,,,,,,,,,,,,,,,,,
393,69.4g,300kcal,<0.5g,4.2g,0.1g,69.4g,2.7g,0.05g,,Essential Sultanas,,,,,,,,,,,,,,,,,,,,,,,,
394,66.8g,297kcal,0.5g,8.3g,0.2g,60.2g,2.2g,0.0g,,Waitrose Dried Pitted Deglet Nour Dates,,,,,,,,,,,,,,,,,,,,,,,,
395,74.5g,328kcal,0.9g,4.9g,0.2g,42.8g,3.0g,0.02g,,Waitrose Duchy Raisins,,,,,,,,,,,,,,,,,,,,,,,,
396,69.4g,300kcal,<0.5g,4.2g,0.1g,69.4g,2.7g,0.05g,,Essential Sultanas,,,,,,,,,,,,,,,,,,,,,,,,
397,68.3g,295kcal,<0.5g,6.7g,0.0g,66.5g,1.8g,0.0g,,Waitrose Chopped Dried Pitted Dates,,,,,,,,,,,,,,,,,,,,,,,,
398,71.8g,314kcal,1.0g,3.6g,0.2g,68.9g,2.7g,0.03g,,Waitrose Flame Raisins,,,,,,,,,,,,,,,,,,,,,,,,
399,80.5g,326kcal,<0.5g,0.5g,<0.1g,61.2g,<0.5g,0.02g,,Essential Glacé Cherries,,,,,,,,,,,,,,,,,,,,,,,,
400,55.3g,254kcal,0.5g,7.3g,0.0g,53.4g,3.4g,0.03g,,Waitrose dried apricots,,,,,,,,,,,,,,,,,,,,,,,,
401,75.9g,331kcal,1.1g,4.4g,0.5g,66.7g,2.3g,0.10g,,Essential Mixed Fruit,,,,,,,,,,,,,,,,,,,,,,,,
402,84.0g,347kcal,0.8g,1.5g,0.4g,78.0g,<0.5g,0.14g,,Cooks' Homebaking Crystallised Ginger,,,,,,,,,,,,,,,,,,,,,,,,
403,75.9g,331kcal,1.1g,4.4g,0.5g,66.7g,2.3g,0.10g,,Essential Mixed Fruit,,,,,,,,,,,,,,,,,,,,,,,,
404,69.3g,293kcal,0.6g,4.6g,0.3g,52.1g,<0.5g,0.25g,,Cooks' Homebaking Italian Cut Mixed Peel,,,,,,,,,,,,,,,,,,,,,,,,
405,69.3g,293kcal,<0.5g,2.0g,0.0g,69.3g,2.1g,0.15g,,Waitrose Cape Raisins,,,,,,,,,,,,,,,,,,,,,,,,
406,55.3g,254kcal,0.5g,7.3g,0.0g,53.4g,3.4g,0.03g,,Waitrose Dried Apricots,,,,,,,,,,,,,,,,,,,,,,,,
407,75.6g,326kcal,0.8g,3.6g,0.3g,68.9g,2.4g,0.0g,,Essential Currants,,,,,,,,,,,,,,,,,,,,,,,,
408,70.9g,314kcal,1.3g,5.2g,0.3g,64.5g,2.1g,0.01g,,Waitrose Orange River Choice Sultanas,,,,,,,,,,,,,,,,,,,,,,,,
409,68.1g,297kcal,<0.5g,6.7g,0.1g,66.3g,1.8g,0.0g,,Waitrose Dried Pitted Dates,,,,,,,,,,,,,,,,,,,,,,,,
410,78.3g,341kcal,0.9g,4.0g,0.2g,66.6g,2.8g,0.04g,,Waitrose Vine Fruit Mix,,,,,,,,,,,,,,,,,,,,,,,,
411,75.1g,303kcal,<0.5g,<0.5g,0.1g,56.2g,<0.5g,0.03g,,Cooks' Homebaking Glace Cherries,,,,,,,,,,,,,,,,,,,,,,,,
412,68.0g,295kcal,<0.5g,4.0g,0.1g,68.0g,3.3g,0.03g,,Waitrose Duchy Dates,,,,,,,,,,,,,,,,,,,,,,,,
413,75.6g,326kcal,0.8g,3.6g,0.3g,68.9g,2.4g,0.0g,,Essential Currants,,,,,,,,,,,,,,,,,,,,,,,,
414,55.3g,254kcal,0.5g,7.3g,0.0g,53.4g,3.4g,0.03g,,Waitrose Chopped Dried Pitted Apricots,,,,,,,,,,,,,,,,,,,,,,,,
415,69.3g,293kcal,<0.5g,2.0g,0.0g,69.3g,2.1g,0.15g,,Waitrose Cape Raisins,,,,,,,,,,,,,,,,,,,,,,,,
416,50.2g,228kcal,0.5g,7.4g,0.2g,34.3g,2.1g,0.0g,,Waitrose Prunes with Stones,,,,,,,,,,,,,,,,,,,,,,,,
417,72.4g,309kcal,0.5g,4.0g,0.2g,56.4g,1.8g,0.05g,,Waitrose Sweet & Tangy Fruit Mix,,,,,,,,,,,,,,,,,,,,,,,,
418,52.3g,366kcal,13.9g,3.7g,1.2g,52.2g,6.0g,Trace,,Whitworths Dates & Walnuts,,,,,,,,,,,,,,,,,,,,,,,,
419,11.4g,667kcal,60.0g,4.6g,5.6g,1.1g,18.2g,0.01g,,Waitrose Walnut Pieces,,,,,,,,,,,,,,,,,,,,,,,,
420,6.0g,620kcal,53.0g,7.3g,4.3g,4.5g,26.0g,0.0g,,Waitrose Ground Almonds,,,,,,,,,,200% of NRV,,,,,,,,,,,,,,
421,4.6g,609kcal,52.0g,9.2g,4.1g,4.6g,26.1g,0.0g,,Waitrose Flaked Almonds,,,,,,,,,,200% of NRV,,,,,,,,,,,,,,
422,4.5g,699kcal,68.6g,1.9g,4.6g,3.9g,14.9g,0.0g,,Waitrose Pine Nut Kernels,,,,,,,,,,117% of NRV,,,,,,,,,,,,,,
423,8.0g,712kcal,69.0g,6.6g,6.4g,3.1g,11.4g,0.0g,,Waitrose pecan nuts halves,,,,,,,,,,,,,,,,,,,,,,,,
424,10.1g,619kcal,52.5g,10.9g,4.1g,4.9g,21.0g,0.0g,,Waitrose Toasted Flaked Almonds,,,,,,,,,,200% of NRV,,,,,,,,,,,,,,
425,8.2g,673kcal,62.4g,9.4g,4.5g,4.9g,15.0g,0.0g,,Waitrose Roasted Chopped Hazelnuts,,,,,,,,,,125% of NRV,,,,,,,,,,,,,,
426,4.2g,612kcal,52.5g,7.9g,4.0g,4.0g,26.8g,0.0g,,Waitrose Blanched Whole Almonds,,,,,,,,,,200% of NRV,,,,,,,,,,,,,,
427,6.0g,620kcal,53.0g,7.3g,4.3g,4.5g,26.0g,0.0g,,Waitrose Ground Almonds,,,,,,,,,,200% of NRV,,,,,,,,,,,,,,
428,17.2g,579kcal,45.4g,10.3g,5.6g,7.7g,20.3g,0.0g,,Waitrose Pistachio Nut Kernels,,,,,,,,,,,,,,,,,,,,,,,,
429,4.0g,711kcal,68.6g,5.8g,4.6g,3.9g,16.5g,0.0g,,Cooks' ingredients toasted pine nuts,,,,,,,,,,,,,,,,,,,,,,,,
430,6.0g,651kcal,61.2g,11.0g,4.7g,3.5g,13.7g,0.0g,,Waitrose Blanched Hazelnuts,,,,,,,,,,150% of NRV,,,,,,,,,,,,,,
431,4.6g,609kcal,52.0g,9.2g,4.1g,4.6g,26.1g,0.0g,,Waitrose Flaked Almonds,,,,,,,,,,200% of NRV,,,,,,,,,,,,,,
432,11.4g,667kcal,60.0g,4.6g,5.6g,1.1g,18.2g,0.01g,,Waitrose Walnut Halves,1% of NRV,,,,,,,,,,,,,,,,,,,,,,,
433,6.7g,646kcal,55.8g,7.4g,4.4g,4.0g,25.5g,Trace,,Whitwrth Ground Almonds,,,,,,,,,,,,,,,,,,,,,,,,
434,5.2g,627kcal,54.0g,6.5g,4.0g,3.4g,26.9g,0.08g,,Waitrose Chopped Almonds,,,,,,,,,,200% of NRV,,,,,,,,,,,,,,
435,9.1g,595kcal,49.9g,12.5g,3.8g,4.4g,21.2g,0.0g,,Waitrose Duchy Almonds,,,,,,,,,,217% of NRV,,,,,,,,,,,,,,
436,26.9g,582kcal,43.9g,3.3g,7.8g,5.9g,18.2g,0.03g,,Waitrose Duchy Cashew Nuts,78% of NRV,,,,,,,,,,,,,,,,,,,,,,,
437,11.4g,667kcal,60.0g,4.6g,5.6g,1.8g,18.2g,0.01g,,Waitrose Walnut Pieces,,,,,,,,,,,,,,,,,,,,,,,,
438,4.2g,692kcal,67.0g,7.5g,16.0g,2.3g,14.3g,0.01g,,Waitrose Chopped Brazil Nuts,,,,,,,,,,,3485% of NRV,,,,,,,,,,,,,
439,4.2g,692kcal,67.0g,7.5g,16.0g,2.3g,14.3g,0.01g,,Waitrose Duchy Brazil Nuts,,,,,,,,,,,3485% of NRV,,,,,,,,,,,,,
440,17.8g,582kcal,45.7g,7.7g,8.4g,5.5g,20.9g,0.02g,,Waitrose Cashew Nuts,70% of NRV,,,,,,,,,,,,,,,,,,,,,,,
441,5.2g,752kcal,75.8g,8.6g,12.1g,4.6g,7.9g,0.01g,,Waitrose Macadamia Nut Halves,,,,,,,,,,,,,,,,,,,,,,,,
442,21g,597kcal,48g,8.3g,6.2g,4.7g,22g,0.73g,,Graze Punchy Protein Nuts,,,,,,,,,,12mg,,,,,,,,,,,,,,
443,4.2g,692kcal,67.0g,7.5g,16.0g,2.3g,14.3g,0.01g,,Waitrose Brazil Nuts,,,,,,,,,,,3485% of NRV,,,,,,,,,,,,,
444,9.1g,610kcal,52g,13.7g,3.4g,3.4g,17.3g,1g,,I Love Snacks Californian Smoked Almonds,,,,,,,,,,,,,,,,,,,,,,,,
445,60g,448kcal,17g,7.7g,1.9g,6.2g,10g,0.73g,,Graze Smokehouse BBQ Crunch,,,,,,,,,,,,,,,,,,,,,,,,
446,34g,471kcal,24g,11g,4.3g,6.3g,25g,1.5g,,Graze Veggie Protein Power,,,,,,,,,,,,,,,,,,,,,,,,
447,40g,556kcal,37g,7.5g,8.2g,36g,12g,<0.1g,,Besana Tórta Caprese Classica,,,,,,,,,,,,,,,,,,,,,,,,
448,31.3g,588kcal,44.4g,12.8g,26.8g,27.9g,9.3g,0.01g,,Menier Swiss Dark Chocolate,,,,,,,,,,,,,,,,,,,,,,,,
449,49.3g,505kcal,29.3g,9.8g,17.5g,46.1g,6.2g,0.0g,,Cooks' Ingredients Dark Chocolate Chips,,,,,,,,,,,,,,,,,,,,,,,,
450,59.8g,522kcal,27.9g,2.2g,16.8g,58.8g,6.7g,0.17g,,Cooks' Ingredients Milk Chocolate Chips,,,,,,,,,,,,,,,,,,,,,,,,
451,11.0g,368kcal,21.0g,28.0g,13.0g,0.9g,20.0g,0.04g,,Menier 100% Cocoa Powder,,,,,,,,,,,,,,,,,,,,,,,,
452,56.1g,557kcal,33.0g,0.0g,20.2g,56.1g,8.6g,0.2g,,Menier Swiss White Chocolate,,,,,,,,,,,,,,,,,,,,,,,,
453,36g,580kcal,42g,10g,25g,29g,9.1g,0.08g,,Green & Black's Dark Chocolate,,,,,,,,,,,,,,,,,,,,,,,,
454,57.8g,552kcal,34.6g,7.2g,20.5g,46.4g,5.9g,0g,,Menier Dark Chocolate Drops,,,,,,,,,,,,,,,,,,,,,,,,
455,57.4g,538kcal,30.4g,2.8g,18.4g,56.6g,7.3g,0.18g,,Menier Swiss Milk Chocolate,,,,,,,,,,,,,,,,,,,,,,,,
456,57g,555kcal,34.1g,3.6g,20.1g,51.2g,6.7g,0.13g,,Menier Milk Chocolate Drops,,,,,,,,,,,,,,,,,,,,,,,,
457,48.0g,565kcal,36.0g,3.0g,21.5g,45.5g,9.8g,0.23g,,Green & Black's Milk Chocolate,,,,,,,,,,,,,,,,,,,,,,,,
458,63.2g,528kcal,27.6g,0.0g,16.6g,62.8g,6.6g,0.19g,,Cooks' Ingredients White Choc Chips,,,,,,,,,,,,,,,,,,,,,,,,
459,34g,531kcal,37g,,22g,31g,8.5g,0.1g,,Lindt Cooking Chocolate Intense,,,,,,,,,,,,,,,,,,,,,,,,
460,60.0g,541kcal,30.5g,0.0g,19.3g,59.6g,6.5g,0.23g,,Cooks' Ingredients White Chocolate,,,,,,,,,,,,,,,,,,,,,,,,
461,51g,581kcal,38g,<0.1g,23g,51g,7.9g,0.26g,,Green & Black's White Chocolate,,,,,,,,,,,,,,,,,,,,,,,,
462,54.2g,539kcal,32.0g,2.2g,19.2g,53.2g,7.5g,0.22g,,Cooks' Homebaking Milk Chunks,,,,,,,,,,,,,,,,,,,,,,,,
463,50g,533kcal,33g,,19g,50g,4.9g,0.08g,,Lindt Cooking Chocolate Smooth,,,,,,,,,,,,,,,,,,,,,,,,
464,37.7g,564kcal,39.6g,,24.1g,26.7g,9.2g,<0.1g,,Willie's Cacao 72% Chef's Drops,,,,,,,,,,,,,,,,,,,,,,,,
465,54.3g,535kcal,32.1g,6.2g,19.2g,52.2g,4.0g,0.01g,,Cooks' Homebaking Dark Chunks,,,,,,,,,,,,,,,,,,,,,,,,
466,61.6g,531kcal,28.3g,0.6g,17.2g,52.2g,7.1g,0.05g,,Cooks' Homebaking Dark Chocolate Curls,,,,,,,,,,,,,,,,,,,,,,,,
467,79.2g,438kcal,12.7g,0.5g,9.7g,68.5g,1.6g,0.20g,,Cooks' Homebaking Fudge Chunks,,,,,,,,,,,,,,,,,,,,,,,,
468,55g,533kcal,32g,,19g,37g,9.2g,60mg,,Guittard Milk Choc Baking Chips,,,,,,,,,,,,,,,,,,,,,,,,
469,61g,531kcal,30g,,18g,57g,6.5g,30mg,,Guittard Extra Dark Choc Baking Chips,,,,,,,,,,,,,,,,,,,,,,,,
470,59.9g,539kcal,30.4g,0.0g,18.3g,59.5g,6.5g,0.23g,,Cook's Ingredients White Chunks,,,,,,,,,,,,,,,,,,,,,,,,
471,39.3g,538kcal,40.6g,,24.8g,27.9g,8.0g,<0.1g,,WCacao 70% Dark Chocolate Drops,,,,,,,,,,,,,,,,,,,,,,,,
472,83.7g,444kcal,12.0g,0.0g,7.3g,67.8g,<0.5g,0.25g,,Cooks' Homebaking Honeycomb Niblets,,,,,,,,,,,,,,,,,,,,,,,,
473,,,,,,,,,,Willie's cacao Venezuelan black,,,,,,,,,,,,,,,,,,,,,,,,
474,,,,,,,,,,Willie's Cacao Peruvian Black,,,,,,,,,,,,,,,,,,,,,,,,
475,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,0.0g,,Essential Red Food Colour,,,,,,,,,,,,,,,,,,,,,,,,
476,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,0.0g,,Essential Natural Blue Colour,,,,,,,,,,,,,,,,,,,,,,,,
477,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,0.0g,,Essential Green Food Colour,,,,,,,,,,,,,,,,,,,,,,,,
478,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,0.0g,,Essential Yellow Food Colour,,,,,,,,,,,,,,,,,,,,,,,,
479,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,0.0g,,Essential Pink Food Colour,,,,,,,,,,,,,,,,,,,,,,,,
480,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,0.0g,,Cooks' Homebaking Coconut Flavouring,,,,,,,,,,,,,,,,,,,,,,,,
481,70.6g,292kcal,0.7g,0.6g,0.3g,47.9g,<0.5g,0.10g,,Cooks' Ingredients Red Gel Colouring,,,,,,,,,,,,,,,,,,,,,,,,
482,70.6g,292kcal,0.7g,0.6g,0.3g,47.9g,<0.5g,0.10g,,Cooks' Ingredients Green Gel Colouring,,,,,,,,,,,,,,,,,,,,,,,,
483,70.6g,292kcal,0.7g,0.6g,0.3g,47.9g,<0.5g,0.10g,,Cooks' Ingredients Purple Gel Colouring,,,,,,,,,,,,,,,,,,,,,,,,
484,70.6g,292kcal,0.7g,0.6g,0.3g,47.9g,<0.5g,0.10g,,Cooks' Ingredients Black Gel Colouring,,,,,,,,,,,,,,,,,,,,,,,,
485,70.6g,292kcal,0.7g,0.6g,0.3g,47.9g,<0.5g,0.10g,,Cooks' Ingredients Pink Gel Colouring,,,,,,,,,,,,,,,,,,,,,,,,
486,70.6g,292kcal,0.7g,0.6g,0.3g,47.9g,<0.5g,0.10g,,Cooks' Ingredients Blue Gel Colouring,,,,,,,,,,,,,,,,,,,,,,,,
487,70.6g,292kcal,0.7g,0.6g,0.3g,47.9g,<0.5g,0.10g,,Cooks' Ingredients Orange Gel Colouring,,,,,,,,,,,,,,,,,,,,,,,,
488,70.6g,292kcal,0.7g,0.6g,0.3g,47.9g,<0.5g,0.10g,,Cooks' Ingredients Yellow Gel Colouring,,,,,,,,,,,,,,,,,,,,,,,,
489,2.0g,28kcal,0.0g,0.5g,0.0g,2.0g,<0.5g,0.01g,,Cooks' Homebaking Sicilian Lemon Juice,,,,,,,,,,,,,,,,,,,,,,,,
490,3.8g,39kcal,2.6g,0.0g,1.0g,0.6g,0.0g,0.0g,,Cooks' Ingredients Vanilla Extract,,,,,,,,,,,,,,,,,,,,,,,,
491,1.0g,28kcal,<0.5g,0.6g,0.0g,0.8g,<0.5g,0.0g,,Essential Lime Juice,,,,,,,,,,,,,,,,,,,,,,,,
492,,,,,,,,,,Nielsen-Massey Vanilla Extract,,,,,,,,,,,,,,,,,,,,,,,,
493,47g,226kcal,0g,,0g,47g,0g,0g,,Taylor & Colledge Vanilla Bean Paste,,,,,,,,,,,,,,,,,,,,,,,,
494,6.9g,31kcal,<0.5g,<0.5g,<0.1g,2.4g,<0.5g,<0.01g,,Jif Lemon,,,,,,,,,,,,,,,,,,,,,,,,
495,0.0g,896kcal,99.5g,0.0g,8.4g,0.0g,<0.5g,0.0g,,Cooks' Ingredients Almond Extract,,,,,,,,,,,,,,,,,,,,,,,,
496,5.1g,214kcal,0g,,0g,5.0g,0g,0g,,Taylor & Colledge Vanilla Bean Extract,,,,,,,,,,,,,,,,,,,,,,,,
497,61g,254kcal,<0.5g,,0.1g,45g,1.3g,0.29g,,Camp Chicory & Coffee Essence,,,,,,,,,,,,,,,,,,,,,,,,
498,,,,,,,,,,Dr.Oetker Platinum Leaf Gelatine 8s,,,,,,,,,,,,,,,,,,,,,,,,
499,49.9g,331kcal,7.0g,25.0g,0.1g,24.9g,4.6g,0.28g,,Cooks' Homebaking Vanilla Pods,,,,,,,,,,,,,,,,,,,,,,,,
500,0.0g,758kcal,84.2g,0.0g,7.1g,0.0g,<0.5g,0.0g,,Cooks' Homebaking Orange Extract,,,,,,,,,,,,,,,,,,,,,,,,
501,<0.5g,896kcal,99.4g,0.0g,8.3g,<0.5g,<0.5g,0.0g,,Cooks' Homebaking Peppermint Extract,,,,,,,,,,,,,,,,,,,,,,,,
502,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,0.0g,,Essential Vanilla Flavouring,,,,,,,,,,,,,,,,,,,,,,,,
503,,,,,,,,,,Certo Liquid Pectin,,,,,,,,,,,,,,,,,,,,,,,,
504,,,,,,,,,,Nielsen-Massey Orange Blossom Water,,,,,,,,,,,,,,,,,,,,,,,,
505,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,0.0g,,Cooks' Ingredients Raspberry Flavour,,,,,,,,,,,,,,,,,,,,,,,,
506,<0.5g,833kcal,92.3g,0.0g,4.9g,<0.5g,<0.5g,0.0g,,Cooks' Homebaking Lemon Extract,,,,,,,,,,,,,,,,,,,,,,,,
507,,,,,,,,,,Nielsen-Massey Rose Water,,,,,,,,,,,,,,,,,,,,,,,,
508,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,0.0g,,Cooks' Homebaking Caramel Flavouring,,,,,,,,,,,,,,,,,,,,,,,,
509,,,,,,,,,,Taylor & Colledge Vanilla Pods,,,,,,,,,,,,,,,,,,,,,,,,
510,,,,,,,,,,Nielsen Massey Gourmet Vanilla Pods,,,,,,,,,,,,,,,,,,,,,,,,
511,55g,260kcal,0g,20g,0g,55g,0g,1.3g,,Dr.Oetker Vege-Gel,,,,,,,,,,,,,,,,,,,,,,,,
512,,,,,,,,,,Langdale's essence of rennet,,,,,,,,,,,,,,,,,,,,,,,,
513,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,0.0g,,Cooks' Ingredients Elderflower Flavour,,,,,,,,,,,,,,,,,,,,,,,,
514,27.7g,156kcal,1.9g,1.3g,0.5g,0.9g,6.4g,0.28g,,McDougalls Classic Pancake Mix,,,,,,,,,,,,,,,,,,,,,,,,
515,47.7g,300kcal,7.8g,1.5g,1.1g,16.1g,9.0g,1.00g,,McDougalls American Pancake Mix,,,,,,,,,,,,,,,,,,,,,,,,
516,51g,381kcal,17g,2.1g,,31g,4.5g,0.49g,,BOSH! Epic Chocolate Fudge Cake Kit,,,,,,,,,,,,,,,,,,,,,,,,
517,81.8g,399kcal,5.6g,2.6g,2.9g,60.2g,4.0g,0.78g,,Betty Crocker Chocolate Fudge Brownie Mix,,,,,,,,,,,,,,,,,,,,,,,,
518,66.3g,456kcal,18.0g,1.6g,9.6g,44.7g,6.4g,1.06g,,Betty Crocker Chocolate Chip Cookie Mix,,,,,,,,,,,,,,,,,,,,,,,,
519,73.2g,370kcal,4.9g,3.1g,3.0g,46.4g,6.8g,2.00g,,Betty Crocker Devil's Food Cake Mix,,,,,,,,,,,,,,,,,,,,,,,,
520,46.0g,256kcal,6.0g,3.0g,0.7g,5.1g,2.8g,1.0g,,Helen's Scone Mix,,,,,,,,,,,,,,,,,,,,,,,,
521,62.9g,478kcal,22.5g,2.1g,14.1g,29.2g,4.9g,0.36g,,Waitrose Gluten Free ChocolateBrownie Mix,,,,,,,,,,,,,,,,,,,,,,,,
522,57g,379kcal,14g,1.3g,,30g,5.5g,0.38g,,BOSH! Lemon Fizzle Cupcake Kit,,,,,,,,,,,,,,,,,,,,,,,,
523,77.8g,378kcal,4.6g,1.0g,2.6g,46.5g,5.8g,1.27g,,Betty Crocker Zesty Lemon Cake Mix,,,,,,,,,,,,,,,,,,,,,,,,
524,81.9g,395kcal,4.7g,1.4g,2.5g,47.6g,5.5g,1.29g,,Betty Crocker Vanilla Cake Mix,,,,,,,,,,,,,,,,,,,,,,,,
525,57.8g,426kcal,18.2g,3.7g,3.6g,46.6g,5.8g,0.65g,,Cadbury Brownie Mix,,,,,,,,,,,,,,,,,,,,,,,,
526,54g,441kcal,22.8g,0.1g,2.8g,27.0g,4.8g,0.49g,,Freee by Doves Farm Sponge Mix,,,,,,,,,,,,,,,,,,,,,,,,
527,52g,354kcal,14g,,6.2g,35g,4.9g,0.56g,,Dr.Oetker Lemon Drizzle Traybake Kit,,,,,,,,,,,,,,,,,,,,,,,,
528,68.4g,403kcal,11.7g,1.1g,4.1g,47.9g,5.5g,0.58g,,Peppa Pig Muddy Puddle Cupcake Kit,,,,,,,,,,,,,,,,,,,,,,,,
529,76.8g,379kcal,4.9g,1.9g,2.8g,47.6g,6.0g,1.28g,,Betty Crocker Red Velvet Cake Mix,,,,,,,,,,,,,,,,,,,,,,,,
530,60.3g,466kcal,21.0g,4.1g,5.6g,37.4g,6.9g,0.28g,,Cadbury Cookie Mix,,,,,,,,,,,,,,,,,,,,,,,,
531,48g,418kcal,22g,,6.7g,33g,5.2g,0.48g,,Dr.Oetker Carrot Cake Traybake Kit,,,,,,,,,,,,,,,,,,,,,,,,
532,74.8g,376kcal,5.1g,2.6g,2.9g,45.5g,6.4g,1.27g,,Betty Crocker Tempting Chocolate,,,,,,,,,,,,,,,,,,,,,,,,
533,45.0g,365kcal,17.0g,2.5g,3.5g,24.5g,7.0g,0.69g,,Cadbury Sponge Mix,,,,,,,,,,,,,,,,,,,,,,,,
534,75.4g,401kcal,9.0g,2.1g,4.6g,54.6g,3.7g,0.63g,,Betty Crocker Salted Caramel Brownie Mix,,,,,,,,,,,,,,,,,,,,,,,,
535,89g,395kcal,4.4g,,2.5g,84g,0.0g,0.00g,,Renshaw Blue Ready to Roll Icing,,,,,,,,,,,,,,,,,,,,,,,,
536,47g,410kcal,22g,,12g,37g,5.5g,0.46g,,Dr.Oetker Chocolate & Caramel Bake Kit,,,,,,,,,,,,,,,,,,,,,,,,
537,78.5g,381kcal,4.6g,1.0g,2.6g,48.8g,5.7g,1.19g,,Betty Crocker Rainbow Chip Cake,,,,,,,,,,,,,,,,,,,,,,,,
538,75.6g,375kcal,4.8g,2.2g,2.8g,46.7g,6.3g,1.28g,,Betty Crocker Chocolate Swirl Cake Mix,,,,,,,,,,,,,,,,,,,,,,,,
539,63.0g,346kcal,8.3g,0.6g,2.8g,48.2g,4.5g,0.43g,,Paw Patrol Cupcake Kit,,,,,,,,,,,,,,,,,,,,,,,,
540,60.1g,285kcal,1.5g,,0.37g,1.0g,3.5g,0.40g,,Davina Steel Garlic& Rosemary Foccacia,,,,,,,1700mg,,,,,,,,,,,,,,,,,
541,71.4g,425kcal,15.5g,0.0g,8.5g,69.0g,0.0g,1.11g,,Betty Crocker Salted Caramel Icing,,,,,,,,,,,,,,,,,,,,,,,,
542,43g,555kcal,36g,5.5g,7.9g,41g,12g,<0.1g,,Besana Tórta Caprese Bianca,,,,,,,,,,,,,,,,,,,,,,,,
543,68.3g,281kcal,0.7g,0.7g,0.3g,63.7g,<0.5g,0.03g,,Waitrose Chinese Stem Ginger in Syrup,,,,,,,,,,,,,,,,,,,,,,,,
544,77.5g,1319kJ,0g,,0g,77.5g,0.5g,0.8g,,Lyle's Golden Syrup,,,,,,,,,,,,,,,,,,,,,,,,
545,80.5g,1380Kj,Nil,,,,0.5g,,,Lyle's Golden Syrup,,,,,,,,,,,,,,,,,,,,,,,,
546,80.5g,325kcal,0g,,0g,80.5g,0.5g,0.83g,,Lyle's Golden Syrup,,,,,,,,,,,,,,,,,,,,,,,,
547,64g,290kcal,0g,,0g,64g,1.7g,0.13g,,Lyle's Black Treacle,130mg,,,500mg,14mg,,,,,,,100mg,,,,,,,,,,,,
548,78.1g,314kcal,0.1g,,0.1g,77.1g,0.1g,<0.01g,,Buckwud Syrup Shack Maple Flavoured Syrup,,,,,,,,,,,,,,,,,,,,,,,,
549,88.0g,354kcal,<0.5g,0.0g,0.0g,0.0g,<0.5g,0.03g,,Cooks' Ingredients Cornflour,,,,,,,,,,,,,,,,,,,,,,,,
550,,,,,,,,,,Bacofoil Non-Stick Baking Paper 10m,,,,,,,,,,,,,,,,,,,,,,,,
551,,,,,,,,,,Essential Aluminium Foil 30mx300mm,,,,,,,,,,,,,,,,,,,,,,,,
552,44.2g,194kcal,0.7g,0.5g,0.2g,<0.5g,2.4g,44.9g,,Cooks' Ingredients Baking Powder,,,,,,,,,,,,,,,,,,,,,,,,
553,,,,,,,,,,essential Waitrose All Purpose Cling Film 40mx350mm,,,,,,,,,,,,,,,,,,,,,,,,
554,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,68.5g,,Cooks' Ingredients Bicarbonate of Soda,,,,,,,,,,,,,,,,,,,,,,,,
555,,,,,,,,,,Waitrose All Purpose Cling Film,,,,,,,,,,,,,,,,,,,,,,,,
556,,,,,,,,,,Essential Aluminium Foil 20m x 300mm,,,,,,,,,,,,,,,,,,,,,,,,
557,19g,407kcal,21g,27g,13g,0g,22g,0.05g,,Green & Black's fairtrade cocoa,,,,,,,,,,,,,,,,,,,,,,,,
558,,,,,,,,,,BacoFoil non-stick foil 10 metres,,,,,,,,,,,,,,,,,,,,,,,,
